id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
2893,제네시스: 세상의 소금,"빔 벤더스,훌리아노 리베이로 살가두",,㈜영화사 백두대간,㈜영화사 백두대간,2015-02-26,개봉영화,장편,프랑스,29,"57,732,130","7,336","40,345,130","4,788",다큐멘터리,12세이상관람가,독립/예술영화
2894,위대한 임무,피터 스펜서,,(재)CBS,(재)CBS,2017-03-23,개봉영화,장편,미국,59,"53,233,800","7,329","12,940,100","1,758",드라마,12세이상관람가,독립/예술영화
2895,문신을 한 신부님,얀 코마사,,알토미디어(주),알토미디어(주),2020-02-13,개봉영화,장편,폴란드,57,"59,655,820","7,324","36,707,980","4,167",드라마,15세이상관람가,독립/예술영화
2896,종이꽃,고훈,"(주)로드픽쳐스,㈜스토리셋",,(주)스튜디오 보난자,2020-10-22,개봉영화,장편,한국,256,"61,393,310","7,324","23,165,270","2,624",드라마,12세이상관람가,독립/예술영화
2897,라스트 탱고,게르만 크랄,,(주)미로스페이스,(주)미로스페이스,2015-12-31,개봉영화,장편,독일,19,"57,730,100","7,317","43,016,800","5,033",다큐멘터리,12세이상관람가,독립/예술영화
2898,신을 믿습니까?,존 건,,(유)영화사 화수분,와이드 릴리즈(주),2016-04-21,개봉영화,장편,미국,81,"51,956,900","7,317","25,007,400","3,457",드라마,12세이상관람가,일반영화
2899,엘라 벨라 빙고: 친구 찾기 대작전,"아틀 솔버그 블락세트,프랭크 모스볼드",,,(주)박수엔터테인먼트,2020-08-12,개봉영화,장편,노르웨이,180,"57,574,860","7,316","6,133,400",737,애니메이션,전체관람가,일반영화
2900,올드마린보이,진모영,영화사 님아 주식회사,,CGV아트하우스,2017-11-02,개봉영화,장편,한국,58,"54,456,800","7,312","24,920,100","3,036",다큐멘터리,전체관람가,독립/예술영화
2901,뷰티풀 데이즈,윤재호,(주)페퍼민트앤컴퍼니,,"(주)콘텐츠판다,(주)스마일이엔티",2018-11-21,개봉영화,장편,한국,142,"54,299,550","7,283","24,463,650","3,104",드라마,12세이상관람가,독립/예술영화
2902,돼지 같은 여자,장문일,(주)아이필름홀딩스,,CGV아트하우스,2015-09-10,개봉영화,장편,한국,91,"52,852,400","7,238","19,531,000","2,356",멜로/로맨스,15세이상관람가,독립/예술영화
2903,SX 테잎,버나드 로즈,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2014-05-29,개봉영화,장편,미국,70,"55,420,100","7,229","17,347,000","2,335",공포(호러),청소년관람불가,일반영화
2904,신과 나: 100일간의 거래,팍품 웡품,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",2020-04-08,개봉영화,장편,기타,240,"60,627,100","7,221","24,457,320","2,856",미스터리,15세이상관람가,일반영화
2905,에펠,마르탱 부르불롱,,(주)영화사메이플러스,"주식회사 블루필름웍스,(주)플레이그램",2022-03-23,개봉영화,장편,프랑스,182,"66,593,890","7,209","29,190,560","3,040",멜로/로맨스,15세이상관람가,독립/예술영화
2906,블라이스 스피릿,에드워드 홀,,,(주)이놀미디어,2021-06-30,개봉영화,장편,영국,135,"58,774,080","7,201","33,739,910","4,148",판타지,12세이상관람가,독립/예술영화
2907,블루노트 레코드,소피 후버,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2019-08-15,개봉영화,장편,영국,23,"61,189,110","7,201","46,904,510","5,271",다큐멘터리,전체관람가,독립/예술영화
2908,그녀가 사라졌다,루크 이브,,주식회사 제이씨엔터웍스,(주)스튜디오디에이치엘,2021-03-17,개봉영화,장편,호주,143,"62,965,000","7,182","27,306,800","3,084",멜로/로맨스,12세이상관람가,독립/예술영화
